"","detected_incidence","prevalence","API","bh_max","eta","covEDAT0","covITN0","effITN","covIRS0","effIRS","muC","muA","muU","percfail2018","percfail2019","percfail2020","EDATscale","covEDATi","ITNscale","covITNi","IRSscale","covIRSi","lossd","dm","ka","delta","cmda_1","cmda_2","cmda_3","kf","ks","tm_1","tm_2","tm_3","effv_3","effv_4","MSATscale","covMSATi","MSATsensC","MSATsensA","MSATsensU"
"42",0.850273933637192,0.947641748296831,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"43",0.848362037574092,0.947113756265609,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,1,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"44",0.851991924664313,0.948132874040082,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,12,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"45",0.850274750121018,0.947643602611319,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,1,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"46",0.850252708623656,0.9476252131371,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,8,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"47",0.857762762426889,0.950052154172803,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,1,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"48",0.847023032075637,0.946595503029881,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,12,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"49",0.84806644243258,0.946899478200285,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,30,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"50",0.852343371127924,0.948336640592923,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,70,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"51",0.84819496432136,0.946951597031851,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,30,50,45,634,9,10,11,92,92,1,90,99,87,4
