"Base","Base","EDAT","EDAT","ITN","ITN","MDA","MDA","VAC","VAC","MSAT","MSAT"
2.79639501556725,4.98832947396917,4.69318445813264,3.70138013678506,4.32774410426841,3.50330037828522,4.32253832905166,3.48333712953829,4.166875411014,3.27535629115203,0.953844980696653,0.763307726268805
2.80093791090262,4.99710329633042,5.81645531339922,2.96563547122835,5.12425152114683,2.75997156960107,5.12631116633047,2.75696130329221,5.12350849728672,2.73355359371685,1.95507342990188,1.02484680955812
2.79706781351092,4.98963242860889,5.67347937900742,3.06157289533607,4.90533374732117,2.81095187113468,4.90888686160464,2.80430926051281,4.89555733106627,2.76348901352056,1.90109803581067,1.07379671258601
2.79982460479458,4.9949621938847,5.17822190492667,3.39550798163114,4.88025972769239,3.26622940782471,4.88306338565601,3.25788694395442,4.77288644835291,3.11307882646444,1.32435631967034,0.87045596405612
2.79836259188219,4.99214294926078,5.52107107925494,3.15141952867363,4.82556423109037,2.90646647974256,4.8262744010136,2.89811318412567,4.77801191851643,2.82242782283714,2.04587890234761,1.19562334560118
2.79922574543847,4.99380892325935,5.12100550097606,3.44070086830452,4.59122114709339,3.20783419289744,4.5916795390428,3.19455408136419,4.23953579016857,2.87000180314686,1.01565553953727,0.695833619532497
2.79922271642294,4.99380110543815,5.35835564405351,3.28878153523244,4.68707889721003,3.02348986479767,4.67869635199244,3.01116272077336,4.08066323623474,2.56293749758074,1.42996578072422,0.893775598351916
2.79671762534946,4.98895651027773,5.51063704894505,3.16895866674406,4.97051259340388,2.97419482354313,4.97229930462112,2.96476677779789,4.91301369046174,2.88435705813344,1.35846485522507,0.818793731916058
2.80044646398396,4.99615724348296,5.23190731965304,3.35907339793902,4.87310128738759,3.2080392667954,4.87251202090477,3.19757472822434,4.48465722383811,2.85285913007614,1.79757094321643,1.1439591769394
2.79983454330937,4.99498316655075,4.6786328817586,3.72213302127934,4.0991176518418,3.40413073104497,4.10168665662541,3.39978625777311,4.05472584037713,3.30648998010379,1.82648114800793,1.43325245061844
2.80006942749714,4.99543524819645,5.39360837841371,3.25753917676831,4.77698050967563,3.02006707410119,4.77986848168259,3.01499249444552,4.73888670676872,2.93214377100729,1.12504330076862,0.713132255533559
2.79813111158665,4.99169575069559,4.88642370350452,3.59646007194048,4.27067319201196,3.28707653689933,4.27325873559997,3.2769714371034,4.16889046138313,3.12151968518967,1.35194409167592,0.998036807997951
2.79787291834278,4.9911934422506,5.69250384174313,3.05304004473622,4.97642380853087,2.81857374401564,4.98077419408758,2.81327241699965,4.9573779950962,2.75927329290444,2.22529993496828,1.21638237424095
2.79756869645697,4.99060737060483,4.66952283348594,3.72085499909773,4.4100422002495,3.57716449818505,4.40747632095084,3.56011115371095,4.25641716755033,3.34230362181052,1.08931916899253,0.877174457888038
2.8002526355444,4.99578759862023,5.08167189757769,3.45162906991967,4.69605637090377,3.27852452934483,4.6737316910536,3.2554283631413,3.51570732452226,2.40875549182931,0.784134628006551,0.595130403857382
2.80098985370076,4.99719768732452,4.71370203346854,3.70216207937908,4.30455913182443,3.48217100539264,4.29230290629197,3.46548245817538,3.77356445126168,2.9436873915249,1.4986442869381,1.14597222575444
2.79777693884876,4.9910078504009,5.63071762612577,3.0837985419847,5.16003764648185,2.92576905006271,5.16493698178597,2.91891052051533,5.09847588134927,2.83631335982997,2.13545022366855,1.18162216836038
2.79821569068782,4.99185823501478,5.33033980425259,3.2774037327345,5.03098985083736,3.16017391724526,5.03352992879968,3.15578226699447,5.01757276985892,3.10673755198595,2.34980336649876,1.41665298469272
